Ticker,Description,Total Shares Outstanding,Shares Float,Relative Volume,Price,Volume,Market Capitalization,Change %,Post-market Volume,Pre-market Volume,Pre-market Gap %,Pre-market Change %,Pre-market Close,Technical Rating
AFMD,Affimed N.V.,149339000,128331930.887,0.57031491,0.8682,303694,129656400.67376772,-1.6203966,8990,1067,-1.13314448,3.11614731,0.91,Sell
CTSO,Cytosorbents Corporation,43663000,38227917.086,0.61543339,2.96,55904,129242505.10247353,4.59363958,914,,,,,Strong Buy
GOSS,"Gossamer Bio, Inc.",94984600,69595216.42,1.55357607,1.36,1819637,129179011,0,52443,,,,,Neutral
PVBC,"Provident Bancorp, Inc.",17703600,15196416.168,1.28220508,7.29,160330,129059149.90212765,3.40425532,6112,,,,,Buy
IVAC,"Intevac, Inc.",25924300,24360779.5427,0.47691628,4.96,65771,128584429.792,-0.8,2941,,,,,Sell
AXTI,AXT Inc,43568700,40591868.5725,1.01777375,2.94,428898,128091994.22727272,-4.54545455,18115,,,,,Sell
VRM,"Vroom, Inc.",138537000,125770122.765,2.38416561,0.92,4048765,127454211.09131403,2.44988864,601415,69126,2.00445434,-2.0155902,0.8799,Buy
ADTH,"AdTheorent Holding Company, Inc.",87766100,23657176.7228,0.91491217,1.45,47636,127260872.76595746,2.83687943,3359,200,0,0,1.41,Sell
GHL,"Greenhill & Co., Inc.",18310200,12156929.1186,0.99372566,6.92,93333,126706411,-0.57471264,3575,,,,,Sell
ASYS,"Amtech Systems, Inc.",14023500,11640430.551,1.74588005,9,35988,126211810.16949151,1.69491525,675,,,,,Buy
ESPR,"Esperion Therapeutics, Inc.",88777800,87827078.5398,1.24005295,1.42,2405715,126064512.8148148,5.18518519,154240,15094,3.7037037,5.92592593,1.43,Buy
TZOO,Travelzoo,15556400,5315793.0004,1.07893386,8.1,272629,126007060.23529412,5.88235294,2469,,,,,Strong Buy
LAB,Standard BioTools Inc.,78666300,76329674.8911,0.6145099,1.595,130183,125472767.83333334,-3.33333333,1272,,,,,Sell
HLTH,Cue Health Inc.,150406014,101065170.70128597,0.81270558,0.8217,472544,124400042.86285713,-2.17857143,22159,12461,1.16666667,-4.76190476,0.8,Sell
TLS,Telos Corporation,68559400,48946338.2044,0.8463226,1.81,790494,124092473.77777778,0.55555556,61475,,,,,Neutral
WMPN,William Penn Bancorporation,12813800,11035193.3048,1.62536071,9.67,88713,123909417.11946449,-0.41194645,343,,,,,Sell
SRT,"StarTek, Inc.",40288500,7719961.5045,0.72216419,3.07,16591,123685567.2483871,-0.96774194,128,,,,,Strong Sell
OPBK,OP Bancorp,15343500,11595466.5375,1.10814097,8.03,42201,123208692.82360093,-2.31143552,551,,,,,Strong Sell
VNRX,VolitionRX Limited,63144100,42966087.1245,0.28177173,1.95,69311,123131054.475,-2.5,160,475,2,2.5,2.05,Buy
ARC,"ARC Document Solutions, Inc.",43636200,36795571.107,1.18057023,2.81,277060,122617839.9379562,2.55474453,3673,,,,,Sell
ABSI,Absci Corporation,92492200,62910419.674,0.52699109,1.325,235101,122552205.12323941,-6.69014085,8298,,,,,Sell
BDSX,"Biodesix, Inc.",77974900,25650779.0538,0.67943251,1.57,31742,122420531.94444443,-3.08641975,1511,,,,,Sell
ANIX,"Anixa Biosciences, Inc.",30924900,29521899.1368,0.76148606,3.95,89860,122153227.64483628,-0.50377834,966,,,,,Sell
TALS,"Talaris Therapeutics, Inc.",42111600,20129176.3536,0.37837299,2.9,207375,122123615.75250836,-3.01003344,2980,700,0,0.66889632,3.01,Buy
LVO,"LiveOne, Inc.",87100100,77863134.395,0.3461792,1.4,245022,121940226.52777776,-2.77777778,3549,728,5.55555556,5.55555556,1.52,Sell
NINE,"Nine Energy Service, Inc.",34721300,27865857.0854,3.36163382,3.51,2576020,121871638.27918781,-10.91370558,30514,12152,-8.88324873,-11.16751269,3.5,Sell
RMBL,"RumbleOn, Inc.",16323800,10286343.504,1.14885318,7.45,137198,121612064.15934756,-6.52446675,30165,100,1.63111669,1.63111669,8.1,Neutral
OCUP,"Ocuphire Pharma, Inc.",20947800,19852188.1644,0.71067513,5.8,278530,121497413.70051634,-0.17211704,1175,1865,-1.89328744,-1.89328744,5.7,Buy
VERU,Veru Inc.,88436700,65470131.1935,0.84121481,1.37,1360438,121158330,0,27985,38571,-3.64963504,-0.72992701,1.36,Buy
AMSC,American Superconductor Corporation,29530100,28015530.70110001,1.08565929,4.1,115165,121073561.38461538,5.12820513,3524,11821,1.28205128,8.97435897,4.25,Buy
STTK,"Shattuck Labs, Inc.",42449100,34033523.4759,0.29693762,2.85,10217,120979894.88888887,5.55555556,206,,,,,Neutral
TTCF,"Tattooed Chef, Inc.",83658400,48706255.1136,0.86696593,1.44,458559,120468036.4137931,-0.68965517,6700,200,-2.75862069,-2.75862069,1.41,Sell
AGBA,AGBA Group Holding Limited,59577000,59577000,0.11403476,2.01,604981,119749737.16336632,-0.4950495,13084,79681,0.99009901,-5.94059406,1.9,Neutral
PRDS,"Pardes Biosciences, Inc.",61716700,27530400.3859,1.52243316,1.94,187315,119730487.38219896,1.57068063,2570,,,,,Buy
NPCE,"Neuropace, Inc.",25405400,8301011.2068,0.15289008,4.69,4421,119151143.8907317,-8.48780488,214,,,,,Neutral
ALTO,"Alto Ingredients, Inc.",72321396,70777477.3825,6.0472315,1.57,4856632,117978310.3235294,15.44117647,254304,282945,15.44117647,14.70588235,1.56,Buy
PCYG,"Park City Group, Inc.",18413700,11823989.181,0.62239999,6.4,8543,117847902.3899371,0.62893082,199,,,,,Buy
EPSN,Epsilon Energy Ltd.,22926400,21689589.4992,0.56551852,5.14,58137,117841918.83236994,-0.96339114,746,,,,,Sell
VXRT,"Vaxart, Inc. - Common Stock",135597000,133411176.36000001,1.12017088,0.8688,962171,117806936.69229876,0.91764433,72945,4179,-2.42769195,3.38018353,0.89,Buy
YTRA,"Yatra Online, Inc.",62912962,50634617.84959999,0.38485192,2.01,13204,117473881,0,110,,,,,Strong Sell
ISSC,"Innovative Solutions and Support, Inc.",17398800,9876011.2488,1.47739871,6.75,23588,117441967.18989275,3.36906585,372,,,,,Neutral
CONN,"Conn's, Inc.",24138400,13723066.6144,0.42502044,4.86,100106,117312586.06329115,2.53164557,9105,,,,,Neutral
MAPS,"WM Technology, Inc.",92573500,72892003.606,1.23737207,0.792,507401,117263383.86248738,0.10111223,52796,974,1.57987867,1.71890799,0.8048,Buy
MLEC,Moolec Science SA,37560300,33744624.24360001,0.1558676,3.11,2936,116812375.42666665,3.66666667,,150,1.63666667,1.63666667,3.0491,Neutral
HRTG,"Heritage Insurance Holdings, Inc.",25558800,18768235.7808,2.56330589,4.57,308550,116803501.46699268,11.73594132,4024,200,-0.24449878,0,4.09,Strong Buy
ORMP,Oramed Pharmaceuticals Inc.,39783800,34885180.9222,0.4677711,2.93,375012,116566572.679868,-3.30033003,5531,3231,-3.63036304,-3.63036304,2.92,Neutral
SLDB,Solid Biosciences Inc.,19582000,15739894.108,1.74949216,5.94,26354,116316968.00739372,9.79667283,555,,,,,Buy
FNCB,FNCB Bancorp Inc. Common Stock,19682700,15813435.4686,0.5625094,5.9,8979,116127871.60409556,0.68259386,252,,,,,Sell
PESI,"Perma-Fix Environmental Services, Inc.",13358100,10371028.4685,1.52398255,8.69,98899,116081676.956427,-5.33769063,597,1964,-6.31808279,-6.10021786,8.62,Sell
CVM,Cel-Sci Corporation,44583700,42848903.6493,0.41419854,2.6,162064,115917526.4,4,4547,100,3.2,3.2,2.58,Buy
APYX,Apyx Medical Corporation,34597800,30197997.774,0.58868071,3.35,90493,115902698.34770116,-3.73563218,3809,,,,,Neutral
HMST,"HomeStreet, Inc.",18755200,17663215.9904,0.7362363,6.17,623307,115719829.00000001,0,78378,325,-0.97244733,-0.97244733,6.11,Sell
INSG,Inseego Corp.,110002000,80893160.75799999,0.71131223,1.05,2022763,115502542.24576272,-11.01694915,83891,32343,0,-1.69491525,1.16,Buy
CASA,"Casa Systems, Inc.",95851500,34399186.32,1.33481466,1.2,314422,115021833.99999999,0,58755,200,-0.70833333,-0.70833333,1.1915,Sell
SRL,Scully Royalty Ltd.,14822300,7379963.8808,0.19217168,7.75,1739,114872445.89171976,-1.27388535,,,,,,Buy
LTRPA,"Liberty TripAdvisor Holdings, Inc. - Series A",76559380,71454523.18370001,0.63722706,0.67,246568,114852462.4945039,-1.80272607,6791,100,0,0,0.6823,Sell
AREC,American Resources Corporation,78213500,52129063.10950001,0.52981565,1.46,170520,114191644.25165562,-3.31125828,1040,,,,,Buy
CTMX,"CytomX Therapeutics, Inc.",66227999.99999999,64755619.104,1.11993287,1.72,386919,113912242.92857143,2.38095238,11455,1300,0,0,1.68,Buy
LIFE,"aTyr Pharma, Inc.",53162100,46618642.9215,0.5552019,2.13,491818,113235176.453271,-0.46728972,11971,6698,-0.46728972,-0.93457944,2.12,Buy
DRRX,DURECT Corporation,24484900,24106559.3252,0.84617701,4.62,109036,113120090.73750003,-3.75,1026,800,-3.125,-3.125,4.65,Buy
LCUT,"Lifetime Brands, Inc.",21693300,11264961.9039,0.67361419,5.21,22966,113022217.83366337,3.16831683,1139,,,,,Buy
GRPN,"Groupon, Inc.",30721200,16644008.8512,0.91367662,3.67,712045,112746932.91784704,3.96600567,45341,,,,,Neutral
KOPN,Kopin Corporation,111548000,100170550.19199999,0.72894922,1.01,220138,112663746.96482413,1.50753769,7432,8912,-1.50753769,0.4120603,0.9991,Neutral
RAD,Rite Aid Corporation,56427400,54064502.625,0.56077158,1.99,1269483,112290464.38071066,1.01522843,39448,600,-1.01522843,-1.01522843,1.95,Sell
LTCH,"Latch, Inc.",144820000,102511126.64,0.621946,0.77,127281,111511204.46052632,1.31578947,10989,5233,4.60526316,-2.31578947,0.7424,Buy
ADSE,ADS-TEC ENERGY PLC,48807900,16890705.9135,0.14022349,2.28,8331,111282008.42522396,-1.79186768,,,,,,Strong Sell
SQNS,Sequans Communications S.A.,48356619.5,45056618.715461,0.28419078,2.33,21180,111220223,1.30434783,100,,,,,Sell
GNTA,Genenta Science S.p.A.,18216858,,1.39557717,5.9652,2985,110940668,-2.04926108,,,,,,Sell
EAR,"Eargo, Inc.",20741800,3547138.1852,2.25623838,5.31,62135,110139185.57142857,-0.18796992,351,,,,,Buy
BSBK,Bogota Financial Corp.,13575700,4707034.5825,0.62125601,8.1,3775,109962813.8367844,-1.33982948,,,,,,Sell
CRGO,Freightos Limited,14575000,13474995.6,0.22392759,2.31,9352,109575670.55217393,0.43478261,,,,,,Sell
SERA,"Sera Prognostics, Inc.",31022059,17754649.6472,1.33574058,3.53,28632,109507802.20857143,0.85714286,330,,,,,Buy
TSAT,Telesat Corporation,12805291,11480701.7985,1.59372129,8.5,19951,108844981.3573883,0,,,,,,Sell
AOUT,"American Outdoor Brands, Inc.",13243300,11228186.2287,1.13960366,8.21,20616,108727424.58333334,0.6127451,1002,,,,,Sell
FOA,Finance of America Companies Inc.,63837300,10116169.2564,0.92528896,1.7,92109,108523403.62499999,6.25,5421,,,,,Buy
ATHA,"Athira Pharma, Inc.",37944200,33889976.0626,1.28238416,2.85,195486,108140940.1048951,-0.34965035,12752,100,4.1958042,4.1958042,2.98,Neutral
REE,REE Automotive Ltd.,313343110,,0.96238219,0.3299,374041,108034843.5367433,6.79831661,630,14518,1.00356102,0.97118809,0.3119,Buy
PWFL,"PowerFleet, Inc.",36089300,32310930.7365,11.19908489,2.99,447418,107906954.4874552,7.16845878,684,,,,,Strong Buy
UEIC,Universal Electronics Inc.,12857400,12153933.0738,1.55859874,8.39,244027,107873886.9353008,-4.76730988,14399,,,,,Strong Sell
RMBI,"Richmond Mutual Bancorporation, Inc.",11699400,10094967.6828,0.24537812,9.21,4737,107751272.83940046,-1.39186296,,,,,,Sell
HOOK,HOOKIPA Pharma Inc.,54722317,44271681.4728,2.36085687,1.965,4740178,107529386.6903226,26.77419355,28481,8719,-1.93548387,-1.93548387,1.52,Strong Buy
QRHC,Quest Resource Holding Corporation,19724200,16424735.824,0.21575902,5.45,5589,107496737,0,257,,,,,Sell
MNOV,"MediciNova, Inc.",49046200,46470244.5298,0.95433152,2.19,15633,107411281.00000001,0,,300,5.02283105,5.02283105,2.3,Neutral
PTRS,Partners Bancorp,17985600,9957889.3104,1.58231403,5.97,13803,107373896.57827479,-4.63258786,288,,,,,Sell
ORTX,Orchard Therapeutics plc,18398449.9,17537310.45243,1.18745206,5.69,61152,107262962,-2.40137221,728,1216,-3.43053173,0.34305317,5.85,Buy
BGSF,"BGSF, Inc.",10789900,10071767.4156,0.53386125,9.93,11488,107143745.50408162,1.32653061,153,,,,,Neutral
PYXS,"Pyxis Oncology, Inc.",34958730,20168810.01636,0.63872755,2.82,360721,107115410.15999997,-6,14754,1850,-0.66666667,-1.66666667,2.95,Sell
BEEM,Beam Global,10760200,9025612.7192,0.82704809,9.92,96847,106741145.72994927,0.7106599,3216,,,,,Sell
BATL,Battalion Oil Corporation,16450400,13954183.4032,0.49322565,6.47,4849,106434137.61022362,3.35463259,238,,,,,Sell
MHH,"Mastech Digital, Inc",11640500,3381355.721,1.22532869,9.125,58724,106219581.40676115,-0.49073064,,,,,,Sell
NIR,"Near Intelligence, Inc.",46383100,22246401.5713,0.17434165,2.29,24250,106217396.86324789,-2.13675214,216,150,0,0,2.34,Sell
HOWL,"Werewolf Therapeutics, Inc.",35519800,21999934.0458,0.38415837,2.98,15486,105849013.15358365,1.70648464,309,,,,,Buy
NEON,Neonode Inc.,15359500,11560788.46,1.19180279,6.88,42652,105673235.34163205,-4.84094053,288,,,,,Sell
GASS,"StealthGas, Inc.",38486200,30174797.2204,0.88602511,2.74,51400,105452132.59558824,0.73529412,144,,,,,Buy
GALT,Galectin Therapeutics Inc.,59443700,42185172.8042,0.67733022,1.77,31522,105215319.8138298,-5.85106383,662,,,,,Sell
BYRN,"Byrna Technologies, Inc.",21866200,17265507.7876,0.69242752,4.81,69873,105176470.00399202,-3.99201597,991,,,,,Sell
HGBL,Heritage Global Inc.,37113000,30957400.707,0.99386603,2.83,90670,105029675.21678324,-1.04895105,680,,,,,Neutral
ARBB,ARB IOT Group Limited,26250000,1297537.5,0.43624828,4,57484,104999754.96201912,-1.98480765,765,2590,0.22053418,0.46557216,4.1,Neutral
KRON,"Kronos Bio, Inc.",57630500,38182857.253,0.34842505,1.82,157089,104887446.48958331,-5.20833333,7156,,,,,Neutral
BCLI,Brainstorm Cell Therapeutics Inc.,36675200,28028434.7968,0.77141701,2.85,183130,104524467.34693877,-3.06122449,2781,700,-3.40136054,-2.72108844,2.86,Neutral
FREE,"Whole Earth Brands, Inc.",42092800,30986067.5136,0.92802806,2.48,254335,104390155.0894309,0.81300813,18347,,,,,Neutral
PSNL,"Personalis, Inc.",46783800,37122056.40780001,0.8000444,2.23,311402,104327775.76211454,-1.76211454,3698,,,,,Sell
UPLD,"Upland Software, Inc.",32222900.00000001,28276593.6599,1.47517515,3.23,618891,104080019.88888888,-5.55555556,20414,,,,,Sell
XNET,Xunlei Limited,65009547.2,63871555.076264,0.95156464,1.5601,37524,104041277,-2.51812047,250,,,,,Strong Sell
ASTR,"Astra Space, Inc.",270825188,170724166.146,0.76681799,0.3833,741904,103807460.27057002,-1.13489812,20218,5162,-3.19834924,1.85710601,0.3949,Strong Sell
CDXC,ChromaDex Corporation,74851200,40506625.09440001,0.45668247,1.385,34435,103668886.54044119,1.83823529,4036,,,,,Neutral
FINW,FinWise Bancorp,12824600,8560279.4294,0.15829813,8.06,2117,103366057.42372882,-2.42130751,248,,,,,Sell
YGF,"YanGuFang International Group Co., Ltd.",32000000,3755328,0.32369831,3.23,106066,103360000,10.05110733,710,3829,-0.17035775,-0.17035775,2.93,Neutral
GLG,"TD Holdings, Inc.",145198000,67970813.75,3.67475838,0.71,357407,103090911,0,5435,100,-4.22535211,-4.22535211,0.68,Sell
SPRO,"Spero Therapeutics, Inc.",52571800,38272428.1154,0.80843807,1.94,284685,101989313.44210526,2.10526316,738,4454,0.52631579,0,1.9,Buy
MMAT,Meta Materials Inc.,467078000,373131799.392,0.54980173,0.2183,5069800,101963171.71221443,-4.08611599,68074,273144,1.05448155,-0.7029877,0.226,Sell
CAPR,"Capricor Therapeutics, Inc.",25255200,24557019.996,1.76934343,4.03,89636,101778272.06666668,3.33333333,590,,,,,Neutral
RDI,Reading International Inc,22181690,15882243.1722,0.26776287,3.22,3322,101756743.19122258,0.94043887,260,,,,,Buy
SSSS,SuRo Capital Corp.,28338600,26664355.512,0.88691908,3.59,94834,101735498.52840908,1.98863636,283,,,,,Neutral
ALLT,Allot Ltd.,37370000,34204200.45000001,0.4702767,2.72,9963,101646519.06049824,-3.20284698,1388,,,,,Sell
RLMD,"Relmada Therapeutics, Inc.",30099200,27765609.024,1.35994296,3.36,224306,101133321.49152543,-5.08474576,11108,,,,,Buy
FAT,FAT Brands Inc.,16587505,3855519.724,3.03820431,6.09,58785,100933756.73684213,10.52631579,389,300,-1.08892922,-1.27041742,5.44,Buy
SEEL,"Seelos Therapeutics, Inc.",120170000,116942954.82,0.61336576,0.8381,178430,100714556.00870197,1.29320764,5828,390,0.19337684,-0.53178632,0.823,Strong Buy
SPIR,"Spire Global, Inc.",143977000,96190169.838,1.4309879,0.6449,651145,100627328.82364257,-4.58647729,34024,430,1.12442669,1.12442669,0.6835,Sell
CENN,Cenntro Electric Group Limited,261308000,164735095.9,0.76454579,0.385,1072414,100603471.15384617,-3.84615385,35215,4785,0,-0.12487512,0.3999,Sell
UBFO,United Security Bancshares,17148000,14624054.472,1.90493249,5.86,40945,100487414.67719299,2.80701754,665,,,,,Neutral
VERY,"Vericity, Inc.",14875000,2234269.625,1.40996128,6.7435,2695,100309560.53682677,-1.84133916,,,,,,Strong Sell
HYPR,"Hyperfine, Inc.",71046388,46655087.9949,1.18019931,1.41,93912,100175372.81506845,-3.42465753,832,,,,,Sell
SHIP,Seanergy Maritime Holdings Corp,18191600,16561832.7476,1.43074743,5,218388,100055588.04347827,8.69565217,2323,,,,,Buy
ANTX,"AN2 Therapeutics, Inc.",19402658,11634454.621856,1.5759943,5.15,51767,100046219.33928575,-8.03571429,1059,,,,,Strong Sell
CDTX,"Cidara Therapeutics, Inc.",90024800,79349659.216,0.70693965,1.11,754246,99927534.28301889,4.71698113,20617,4799,2.83018868,-0.94339623,1.05,Buy
MRBK,Meridian Corporation,11321800,10450904.5004,0.67622479,8.82,31403,99858718.01146787,1.14678899,260,,,,,Sell
XBIT,XBiotech Inc.,30439300,16756012.7889,1.00104266,3.28,23234,99840823.2462006,-0.30395137,299,,,,,Sell
APEI,"American Public Education, Inc.",19030800,18103181.7156,0.88185606,5.23,140157,99530919.9027523,-4.03669725,8343,,,,,Strong Sell
BWEN,"Broadwind, Inc.",20853200,17545673.948,0.48009467,4.77,61666,99469735.30082986,-1.0373444,2011,,,,,Buy
ARAV,"Aravive, Inc.",59844900,30441065.9034,1.27386083,1.66,209758,99342455.63975154,3.10559006,11403,2500,1.86335404,1.86335404,1.64,Buy
MNTX,"Manitex International, Inc.",20107000,13645655.764,0.88190222,4.94,17955,99328644.12981746,0.20283976,,,,,,Sell
CMRX,"Chimerix, Inc.",88583600,74683327.2388,1.0074477,1.12,763056,99213601,0,15713,2807,0.89285714,0.89285714,1.13,Sell
SPRU,Spruce Power Holding Corporation,147931000,100576067.935,0.28910212,0.6694,162693,99024960.53193378,-1.0348906,4998,305,0,0.53222945,0.68,Sell
CETY,"Clean Energy Technologies, Inc.",38495500,11920709.0075,1.2544927,2.57,48167,98933313.32300887,13.71681416,111,900,0,0,2.26,Buy
CODA,"Coda Octopus Group, Inc.",11020200,4909003.191,1.60722668,8.95,40059,98630501.77966101,1.1299435,297,,,,,Buy
STRM,"Streamline Health Solutions, Inc.",58610500,42679638.60550001,1.35625907,1.68,30451,98465706.41860466,-2.3255814,620,,,,,Strong Sell
UP,Wheels Up Experience Inc.,251310000,157957130.85,5.55770259,0.3911,5738224,98287146.59587796,-20.97393413,88176,30969,4.06142655,4.86967064,0.519,Sell
SUP,"Superior Industries International, Inc.",27909600,20653634.2824,0.97418359,3.52,126786,98241863,0,1183,,,,,Sell
PHX,PHX Minerals Inc.,36505000,27362067.215,0.63183692,2.69,47155,98198397.6374046,2.67175573,1851,,,,,Buy
GEOS,Geospace Technologies Corporation,13131000,12111863.697,0.42400718,7.47,12857,98088486.88738129,1.3568521,274,,,,,Buy
QMCO,Quantum Corporation,105215000,99538861.18,0.90011594,0.932,71891,98060041.53684214,-1.89473684,1644,600,0,0,0.95,Sell
SCYX,"SCYNEXIS, Inc.",33324100,31961410.9028,0.37012035,2.94,202152,97972945.75167786,-1.34228188,2422,1100,-1.00671141,-1.00671141,2.95,Neutral
KITT,"Nauticus Robotics, Inc.",47281300,12839142.4524,0.41476607,2.07,12139,97872230.17535543,-1.8957346,,355,4.26540284,0,2.11,Sell
CTG,"Computer Task Group, Incorporated",15747400,13575912.277,1.74278227,6.21,55131,97791210.91244239,-4.60829493,322,,,,,Strong Sell
GLYC,"GlycoMimetics, Inc.",64245200,57477867.61279999,0.5831944,1.52,91894,97652742.00000001,2.7027027,3299,,,,,Buy
AKLI,"Akili, Inc.",78101100,32282152.47180001,0.091832,1.25,153381,97626363.8888889,-7.40740741,1883,7803,17.03703704,0,1.35,Sell
FTHM,Fathom Holdings Inc.,18071100,8641708.4466,2.89557752,5.38,48130,97222578.51124744,10.0204499,256,,,,,Buy
PRTK,"Paratek Pharmaceuticals, Inc.",57265300,44277701.7559,0.76235609,1.69,407900,96778336.34444442,-6.11111111,18514,2823,5,-2.77777778,1.75,Sell
RGF,"The Real Good Food Company, Inc.",7187951,6713172.460548,0.64458741,3.6339,3587,96536850.1534212,-0.62079527,,,,,,Sell
ACNT,Ascent Industries Co.,10172900,8650240.6738,0.60093023,9.48,3553,96439518.30188683,-0.62893082,121,,,,,Sell
LVLU,"Lulu's Fashion Lounge Holdings, Inc.",39259328,11620329.235392,1.84504939,2.41,77231,95743161.80303033,-8.71212121,1803,,,,,Sell
MMLP,Martin Midstream Partners L.P.,38914800,28937512.2576,0.98211853,2.45,36409,95341275.68,-2,,,,,,Strong Sell
MMMB,"MamaMancini's Holdings, Inc.",36317900,20248536.6944,0.78709959,2.62,194909,95152780.51957296,-6.76156584,413,1324,2.4911032,0,2.81,Buy
FBIO,"Fortress Biotech, Inc.",130287000,88298887.362,1.46528904,0.73,496249,95109385.22207266,-1.74966353,1919,,,,,Sell
RBT,"Rubicon Technologies, Inc.",55886692,25364175.1642,0.20798758,0.5,64291,95076042,0,600,3616,0,-3,0.485,Neutral
LL,"LL Flooring Holdings, Inc.",29257500,28021721.71500001,1.06017534,3.24,771865,94794154.94117647,5.88235294,26675,1964,1.96078431,-2.94117647,2.97,Sell
PFSW,"PFSweb, Inc.",22802600,17306876.9662,0.84317694,4.15,33078,94630930.94339623,-2.12264151,2617,,,,,Neutral
DTIL,"Precision BioSciences, Inc.",111296000,86700029.184,0.6290707,0.85,182623,94601366.99999999,0,8597,100,0,0,0.85,Neutral
ELYM,"Eliem Therapeutics, Inc",26567700,17376869.862,1.72957852,3.55,4637,94315268.63501482,5.34124629,,,,,,Buy
PET,Wag! Group Co.,37428825,10443540.4668,5.71016695,2.515,260045,94133492.70689657,8.40517241,39225,200,-3.44827586,-3.01724138,2.25,Buy
HOLO,MicroCloud Hologram Inc.,50812000,9500421.264,0.62717382,1.85,596372,94002262.53521128,4.22535211,4081,4777,-3.09859155,-0.28169014,1.77,Neutral
ELEV,"Elevation Oncology, Inc.",23666300,15383071.3337,0.10245328,3.97,186979,93955320.24815723,-2.45700246,800,400,-3.19410319,-5.65110565,3.84,Buy
BFIN,BankFinancial Corporation,12694000,11199535.38,1.63885696,7.4,24093,93935553.37801608,-0.80428954,294,,,,,Sell
HKIT,Hitek Global Inc.,,,1.98975559,6.26,117042,93822870.42038216,-0.31847134,100,447,-5.73248408,-2.70700637,6.11,Buy
RVSB,Riverview Bancorp Inc,21496300,19901575.4882,1.16720195,4.36,42557,93724020.454343,-2.89532294,789,,,,,Sell
FNGR,"FingerMotion, Inc.",46527900,20866832.592,0.62865676,2.01,147128,93521182.71232875,-8.21917808,,250,-2.28310502,-1.82648402,2.15,Neutral
MPAA,"Motorcar Parts of America, Inc.",19491400,18754098.8122,0.40372065,4.77,155874,92973950.65605097,1.27388535,7976,,,,,Neutral
ETON,"Eton Pharmaceuticals, Inc.",25504400,22165899.5444,1.87240501,3.64,56506,92835941.52161382,4.89913545,550,,,,,Strong Buy
DRIO,DarioHealth Corp.,25871900,23484182.349,0.41150288,3.58,57440,92621364.16260162,-2.98102981,327,,,,,Sell
ZFOX,"ZeroFox Holdings, Inc.",118580000,70980683.61999999,0.13459814,0.7778,288258,92231277.59770992,-1.043257,11695,17849,0.50890585,-0.02544529,0.7858,Strong Sell
BLPH,"Bellerophon Therapeutics, Inc.",10449800,10020626.714,0.73867694,8.8,79326,91958535.40636045,3.65135453,1451,1944,7.65606596,7.4204947,9.12,Buy
ZAPP,Zapp Electric Vehicles Group Limited,28750000,26951888.75,0.08269972,3.19,131099,91712499.03039512,-3.03951368,394,3949,-8.5106383,0.60790274,3.31,Sell
JWAC,Jupiter Wellness Acquisition Corp.,18155000,14308273.805,0.39033885,5.05,167037,91682749.13080893,-13.08089501,3774,1283,-6.19621343,-0.51635112,5.78,Strong Sell
AQMS,"Aqua Metals, Inc.",83137800,69960791.2512,0.77591284,1.1,168122,91451599.64285713,-1.78571429,2223,1300,-1.78571429,0.89285714,1.13,Buy
ATOS,"Atossa Therapeutics, Inc.",126624000,126595889.472,1.68343788,0.7201,583272,91182015.86069438,2.88612659,19406,6731,0.01428776,0.01428776,0.7,Buy
SOND,Sonder Holdings Inc.,219283000,190925761.006,0.84559686,0.4142,982735,90826960.6658922,-3.76394052,28172,,,,,Sell
PCTI,"PCTEL, Inc.",19083100,15619937.1782,3.81050711,4.75,233067,90644609.14634147,5.32150776,2098,500,-4.87804878,-4.87804878,4.29,Strong Buy
SPRB,"Spruce Biosciences, Inc.",39746100,15211190.1849,1.12628887,2.28,87102,90621145.1629956,0.44052863,729,,,,,Buy
ISPO,Inspirato Incorporated,66697000,24186466.504,1.22307576,0.718,285046,90395931.58878507,-2.7495598,5352,200,1.58472166,1.58472166,0.75,Sell
VSTM,"Verastem, Inc.",210091000,190930700.8,0.59306887,0.43,385596,90339063.45238096,2.38095238,6016,1400,4.76190476,2.0952381,0.4288,Buy
KORE,"KORE Group Holdings, Inc.",76538800,36348658.814,0.50508903,1.18,134956,90315803.32758622,1.72413793,10836,13304,-0.86206897,-4.30172414,1.1101,Sell
WIMI,WiMi Hologram Cloud Inc.,76650256.5,,0.93384738,1.045,482480,90176360,0.48076923,364,795,-3.84615385,-2.88461538,1.01,Buy
VTVT,vTv Therapeutics Inc.,81483600,27306050.6796,2.47895129,0.86,134113,89936930.53063318,10.22814663,1761,,,,,Strong Buy
GNSS,Genasys Inc.,36755900,29779152.3533,4.96426578,2.44,119195,89684513.38831615,-16.15120275,659,,,,,Strong Sell
BSGM,"BioSig Technologies, Inc.",66857699.99999999,55456255.84590001,0.52111136,1.34,106974,89589305.0962963,-0.74074074,2394,,,,,Buy
PRCH,"Porch Group, Inc.",96980900,77064029.5479,0.76212833,0.9226,1311591,89474544.60158013,4.13092551,29497,6537,-4.13092551,-5.25959368,0.8394,Sell
DLNG,Dynagas LNG Partners LP,36802200,17538971.6628,0.72811428,2.42,24446,89147407.4015748,-4.72440945,500,,,,,Strong Sell
AREN,"The Arena Group Holdings, Inc.",18303200,14522966.8912,0.44373514,4.08,13193,88828174.80299254,1.74563591,818,,,,,Sell
VACC,Vaccitech plc,37683531,34799572.68903901,0.68809992,2.35,7735,88179459,0.42735043,,,,,,Sell
